Indicator,Economy,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Temperature Change,Malaysia,1.56,1.09,1.13,1.42,1.36,1.18,1.09,1.22,1.61,0.0
Temperature Change,Myanmar,1.35,1.25,0.96,1.63,1.59,1.64,1.35,1.74,1.96,0.0
Temperature Change,Philippines,1.57,1.19,1.23,1.3,1.45,1.31,1.27,1.44,1.54,0.0
Temperature Change,Singapore,1.4,0.76,1.03,1.6,1.02,1.24,0.98,1.29,1.63,0.0
Temperature Change,Thailand,1.43,1.01,0.77,1.67,1.45,0.98,0.87,1.39,1.98,0.0
Temperature Change,Timor-Leste,1.5,0.82,0.39,0.52,1.36,0.77,0.62,0.3,1.11,0.0
Temperature Change,Viet Nam,1.22,1.19,0.88,1.86,1.58,1.2,1.12,1.52,2.04,0.0
Deforestation Rate,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deforestation Rate,Cambodia,1.76,1.79,1.82,1.86,1.89,1.93,1.97,2.01,0.0,0.0
Deforestation Rate,Indonesia,-0.26,1.39,0.64,0.65,0.65,0.66,0.66,0.67,0.0,0.0
Deforestation Rate,Lao People's Democratic Republic,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0
Deforestation Rate,Malaysia,0.77,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.0
Deforestation Rate,Myanmar,0.97,0.98,0.98,0.99,1.0,1.01,1.03,1.04,0.0,0.0
Deforestation Rate,Philippines,-0.5,-0.49,-0.49,-0.49,-0.49,-0.49,-0.48,-0.48,0.0,0.0
Deforestation Rate,Singapore,1.13,1.08,1.12,1.13,1.14,1.16,1.17,1.18,0.0,0.0
Deforestation Rate,Thailand,0.22,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0
Deforestation Rate,Timor-Leste,0.15,0.12,0.18,0.15,0.15,0.15,0.15,0.15,0.0,0.0
Deforestation Rate,Viet Nam,-2.25,-0.26,-0.53,-0.52,-0.52,-0.52,-0.52,-0.51,0.0,0.0
Growth Rates in Population,Brunei Darussalam,1.18,2.19,2.39,3.3,-2.04,-0.25,1.06,1.15,1.11,0.0
Growth Rates in Population,Cambodia,1.41,1.41,1.41,1.36,1.36,1.5,1.5,1.5,1.2,0.0
Growth Rates in Population,Indonesia,1.36,1.34,1.33,1.31,1.25,1.22,1.17,1.13,1.11,0.0
Growth Rates in Population,Lao People's Democratic Republic,0.0,1.68,1.62,1.57,1.52,1.48,1.43,1.44,1.28,0.0
Growth Rates in Population,Malaysia,1.4,1.2,1.1,0.4,-0.2,0.4,0.4,2.1,1.98,0.0
Growth Rates in Population,Myanmar,0.8,0.74,0.7,0.7,0.72,0.67,0.71,0.69,0.66,0.0
Growth Rates in Population,Philippines,1.68,1.6,1.52,1.46,0.0,0.8,0.78,0.88,0.88,0.0
Growth Rates in Population,Singapore,1.3,0.1,0.5,1.2,-0.3,-4.1,3.4,5.0,2.0,0.0
Growth Rates in Population,Thailand,0.39,0.94,0.32,0.3,0.28,0.26,0.23,0.21,0.25,0.0
Growth Rates in Population,Timor-Leste,1.55,1.52,1.5,1.47,1.53,1.61,1.48,1.5,2.94,0.0
Growth Rates in Population,Viet Nam,1.11,1.11,1.17,1.15,1.14,0.95,0.98,0.85,1.03,0.0
Carbon Dioxide Emissions,Brunei Darussalam,7899200.0,7871400.0,8030100.0,7603300.0,9903700.0,9746200.0,9448500.0,9716100.0,0.0,0.0
Carbon Dioxide Emissions,Cambodia,10591100.0,11848700.0,12335900.0,15855100.0,16599800.0,16777500.0,17354500.0,17970100.0,0.0,0.0
Carbon Dioxide Emissions,Indonesia,507076800.0,535717200.0,597476700.0,637310100.0,594263400.0,619327400.0,656669200.0,674535900.0,0.0,0.0
Carbon Dioxide Emissions,Lao People's Democratic Republic,15870900.0,19244100.0,19862100.0,19369900.0,19437800.0,23816600.0,24550900.0,26020800.0,0.0,0.0
Carbon Dioxide Emissions,Malaysia,247568300.0,237864500.0,254361200.0,255207100.0,253393400.0,258914400.0,274342400.0,283323500.0,0.0,0.0
Carbon Dioxide Emissions,Myanmar,22967300.0,33734900.0,33501900.0,34372000.0,34706100.0,31826200.0,32392500.0,33368400.0,0.0,0.0
Carbon Dioxide Emissions,Philippines,121273400.0,135622400.0,141312300.0,147897100.0,135800200.0,145586700.0,150638700.0,161288300.0,0.0,0.0
Carbon Dioxide Emissions,Singapore,52983900.0,56897600.0,54225200.0,55902400.0,53879300.0,55689500.0,55757200.0,57068300.0,0.0,0.0
Carbon Dioxide Emissions,Thailand,276007900.0,276939600.0,274585800.0,284439600.0,274439000.0,267491200.0,275868900.0,274160000.0,0.0,0.0
Carbon Dioxide Emissions,Timor-Leste,660800.0,688300.0,680300.0,654600.0,649900.0,665800.0,712100.0,702900.0,0.0,0.0
Carbon Dioxide Emissions,Viet Nam,224454800.0,230403700.0,283860300.0,338946000.0,352063900.0,341105100.0,324900700.0,372948500.0,0.0,0.0
Population Density,Brunei Darussalam,72.38,73.96,75.73,78.23,76.63,76.45,77.26,78.14,79.01,0.0
Population Density,Cambodia,84.53,85.72,86.93,88.15,89.37,91.65,92.0,96.0,97.0,0.0
Population Density,Indonesia,135.19,137.0,138.0,140.1,141.0,142.0,144.0,147.0,149.0,0.0
Population Density,Lao People's Democratic Republic,29.41,29.9,30.39,30.86,31.33,31.79,32.25,32.71,33.13,0.0
Population Density,Malaysia,95.53,96.74,97.94,98.32,98.1,99.0,98.7,101.0,103.0,0.0
Population Density,Myanmar,78.83,79.44,80.01,80.58,81.15,81.72,82.29,82.86,83.42,0.0
Population Density,Philippines,341.77,347.23,352.52,357.67,362.67,367.33,371.91,376.31,376.0,0.0
Population Density,Singapore,7797.0,7796.0,7804.0,7866.0,7810.0,7485.0,7688.0,8058.0,8207.0,0.0
Population Density,Thailand,133.0,134.25,134.68,135.09,135.46,135.81,136.13,136.5,136.84,0.0
Population Density,Timor-Leste,81.91,83.16,84.4,85.65,86.96,88.36,89.66,91.01,93.69,0.0
Population Density,Viet Nam,281.53,284.65,287.97,290.83,295.0,297.39,300.0,302.75,305.86,0.0
